# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] KNN(leaf_size=30, max_window_size=100, n_neighbors=10, nominal_attributes=None)
# [M1] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='result_elec.csv', pretrain_size=1000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_acc_[M1],current_acc_[M1],mean_acc_[M2],current_acc_[M2],mean_kappa_[M0],current_kappa_[M0],mean_kappa_[M1],current_kappa_[M1],mean_kappa_[M2],current_kappa_[M2]
1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1002,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1003,0.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1004,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1199,0.810000,0.810000,0.810000,0.810000,0.815000,0.815000,0.257232,0.257232,0.121184,0.121184,0.181778,0.181778
1399,0.765000,0.720000,0.840000,0.870000,0.840000,0.865000,0.209586,0.166294,0.404236,0.588933,0.410546,0.569790
1599,0.780000,0.810000,0.843333,0.850000,0.846667,0.860000,0.245484,0.329214,0.466071,0.557978,0.453379,0.531067
1799,0.786250,0.805000,0.833750,0.805000,0.826250,0.765000,0.433737,0.609297,0.577315,0.612557,0.531845,0.529152
1999,0.786000,0.785000,0.809000,0.710000,0.823000,0.810000,0.446857,0.489068,0.551715,0.454220,0.545814,0.579785
2199,0.770833,0.695000,0.802500,0.770000,0.815000,0.775000,0.410074,0.230575,0.535998,0.457739,0.525795,0.427044
2399,0.742143,0.570000,0.789286,0.710000,0.775714,0.540000,0.393793,0.136546,0.524603,0.452830,0.452884,0.195804
2599,0.732500,0.665000,0.786875,0.770000,0.771875,0.745000,0.376796,0.263736,0.529082,0.540000,0.458399,0.469854
2799,0.726667,0.680000,0.791667,0.830000,0.765556,0.715000,0.381910,0.359295,0.550144,0.660170,0.454122,0.426905
2999,0.737000,0.830000,0.800000,0.875000,0.780000,0.910000,0.395753,0.527450,0.564103,0.697556,0.478867,0.742526
3199,0.729545,0.655000,0.800000,0.800000,0.784091,0.825000,0.382908,0.259657,0.570480,0.608649,0.498628,0.643947
3399,0.722500,0.645000,0.807917,0.895000,0.789167,0.845000,0.383508,0.305827,0.593824,0.790000,0.525693,0.694641
3599,0.726923,0.780000,0.816923,0.925000,0.794231,0.855000,0.393551,0.525862,0.611666,0.833850,0.534783,0.650939
3799,0.733214,0.815000,0.819643,0.855000,0.796786,0.830000,0.392898,0.080060,0.609526,0.356984,0.529121,0.191439
3999,0.734667,0.755000,0.825000,0.900000,0.793667,0.750000,0.397496,0.466812,0.621682,0.789584,0.522681,0.445983
4199,0.729062,0.645000,0.824688,0.820000,0.792500,0.775000,0.380907,0.087404,0.617647,0.526004,0.515152,0.354005
4399,0.729706,0.740000,0.823235,0.800000,0.788529,0.725000,0.376855,0.269663,0.610454,0.431818,0.499491,0.112903
4599,0.729167,0.720000,0.824722,0.850000,0.793611,0.880000,0.384788,0.440615,0.618925,0.699549,0.520103,0.760312
4799,0.726316,0.675000,0.828947,0.905000,0.794737,0.815000,0.378297,0.264206,0.628468,0.797052,0.522937,0.574810
4999,0.725750,0.715000,0.826500,0.780000,0.793500,0.770000,0.370593,0.109375,0.618861,0.274406,0.513640,0.161808
5199,0.727381,0.760000,0.826190,0.820000,0.795000,0.825000,0.380899,0.516908,0.622395,0.646782,0.523286,0.647462
5399,0.727955,0.740000,0.817045,0.625000,0.785682,0.590000,0.385360,0.462088,0.601643,0.201108,0.501479,0.106851
5599,0.721957,0.590000,0.818696,0.855000,0.785000,0.770000,0.371661,0.068605,0.604098,0.661610,0.498716,0.434055
5799,0.724167,0.775000,0.816042,0.755000,0.785833,0.805000,0.381296,0.547648,0.602091,0.530741,0.505329,0.606934
5999,0.724600,0.735000,0.814600,0.780000,0.783800,0.735000,0.380774,0.366180,0.597964,0.491212,0.499383,0.345841
6199,0.724231,0.715000,0.816346,0.860000,0.786731,0.860000,0.388474,0.414183,0.604802,0.722084,0.512994,0.725356
6399,0.722778,0.685000,0.813704,0.745000,0.787037,0.795000,0.385170,0.299065,0.599367,0.460203,0.513302,0.521810
6599,0.720714,0.665000,0.814464,0.835000,0.786964,0.785000,0.377819,0.126239,0.598368,0.507463,0.509313,0.303305
6799,0.716724,0.605000,0.815517,0.845000,0.782759,0.665000,0.372346,0.208892,0.600639,0.669157,0.499458,0.244304
6999,0.713667,0.625000,0.816167,0.835000,0.778167,0.645000,0.365212,0.179611,0.602333,0.652851,0.488723,0.202964
7199,0.710323,0.610000,0.814677,0.770000,0.772903,0.615000,0.359404,0.188852,0.599109,0.511885,0.476366,0.137931
7399,0.711562,0.750000,0.810000,0.665000,0.761719,0.415000,0.369170,0.481112,0.590946,0.394542,0.454655,0.053857
7599,0.709697,0.650000,0.811818,0.870000,0.757576,0.625000,0.366518,0.279909,0.595346,0.731544,0.445533,0.188663
7799,0.710147,0.725000,0.813971,0.885000,0.752059,0.570000,0.373038,0.428393,0.603056,0.759162,0.437335,0.221297
7999,0.711857,0.770000,0.815286,0.860000,0.753143,0.790000,0.379682,0.540414,0.608168,0.717372,0.443168,0.584117
8199,0.711111,0.685000,0.817361,0.890000,0.752361,0.725000,0.381420,0.366961,0.614185,0.779272,0.443952,0.458128
8399,0.711486,0.725000,0.818784,0.870000,0.750405,0.680000,0.385141,0.451207,0.619308,0.730206,0.442638,0.395257
8599,0.713553,0.790000,0.820263,0.875000,0.750789,0.765000,0.391203,0.579158,0.623402,0.750150,0.445491,0.526114
8799,0.714744,0.760000,0.822179,0.895000,0.746026,0.565000,0.397005,0.504746,0.628714,0.789114,0.437435,0.208659
8999,0.715125,0.730000,0.823875,0.890000,0.746375,0.760000,0.399268,0.459622,0.633294,0.780373,0.439949,0.517830
9199,0.715366,0.725000,0.825854,0.905000,0.745732,0.720000,0.400507,0.448234,0.637843,0.809657,0.439873,0.436790
9399,0.714881,0.695000,0.824167,0.755000,0.746310,0.770000,0.399923,0.377678,0.635391,0.520078,0.442853,0.534413
9599,0.713488,0.655000,0.824186,0.825000,0.746395,0.750000,0.399358,0.297209,0.636804,0.630880,0.445991,0.520154
9799,0.715000,0.780000,0.823636,0.800000,0.746705,0.760000,0.402476,0.537183,0.635999,0.604704,0.446415,0.464465
9999,0.716000,0.760000,0.825556,0.910000,0.742667,0.565000,0.405755,0.524564,0.640491,0.820646,0.438704,0.170322
10199,0.718478,0.830000,0.826848,0.885000,0.742935,0.755000,0.414270,0.595238,0.644654,0.727230,0.443487,0.535281
10399,0.720000,0.790000,0.828085,0.885000,0.740851,0.645000,0.418307,0.581632,0.647745,0.769169,0.439962,0.304194
10599,0.718542,0.650000,0.828229,0.835000,0.742708,0.830000,0.415817,0.295562,0.648442,0.673203,0.444665,0.649954
10799,0.718980,0.740000,0.827959,0.815000,0.741633,0.690000,0.416734,0.467704,0.647822,0.618792,0.441424,0.256684
10999,0.718700,0.705000,0.829500,0.905000,0.740600,0.690000,0.415061,0.282064,0.650528,0.783055,0.437716,0.183888
11199,0.716471,0.605000,0.829804,0.845000,0.739216,0.670000,0.410185,0.162070,0.650908,0.671192,0.434394,0.264460
11399,0.716154,0.700000,0.829712,0.825000,0.738558,0.705000,0.408666,0.306118,0.649994,0.548736,0.431074,0.152786
11599,0.716981,0.760000,0.828208,0.750000,0.734811,0.540000,0.410877,0.518797,0.646775,0.497437,0.423240,0.071364
11799,0.718148,0.780000,0.828981,0.870000,0.733796,0.680000,0.415174,0.536501,0.649083,0.732703,0.423182,0.389371
11999,0.716364,0.620000,0.827091,0.725000,0.732727,0.675000,0.411036,0.170939,0.644955,0.407711,0.420314,0.250634
12199,0.716607,0.730000,0.827946,0.875000,0.733036,0.750000,0.411710,0.447570,0.646899,0.749097,0.421259,0.471961
12399,0.715351,0.645000,0.828158,0.840000,0.731579,0.650000,0.409138,0.267588,0.647687,0.684822,0.418076,0.246420
12599,0.718448,0.895000,0.824741,0.630000,0.731034,0.700000,0.416315,0.792038,0.641413,0.290304,0.418027,0.397046
12799,0.718220,0.705000,0.826356,0.920000,0.728644,0.590000,0.416443,0.411530,0.645012,0.840000,0.413490,0.192913
12999,0.720667,0.865000,0.827250,0.880000,0.725667,0.550000,0.423102,0.711846,0.647624,0.736177,0.409093,0.205158
13199,0.721803,0.790000,0.828443,0.900000,0.725984,0.745000,0.426003,0.583994,0.650238,0.800638,0.410026,0.464736
13399,0.722500,0.765000,0.829194,0.875000,0.725000,0.665000,0.428256,0.531032,0.652324,0.739692,0.409471,0.360931
13599,0.722857,0.745000,0.829444,0.845000,0.724683,0.705000,0.428983,0.474552,0.652908,0.689565,0.408651,0.356878
13799,0.724922,0.855000,0.831328,0.950000,0.724844,0.735000,0.434225,0.704684,0.657151,0.897383,0.410769,0.498581
13999,0.727308,0.880000,0.832462,0.905000,0.724846,0.725000,0.439455,0.759423,0.659639,0.810190,0.411378,0.444332
14199,0.726288,0.660000,0.830455,0.700000,0.725000,0.735000,0.437381,0.304419,0.655768,0.419505,0.411565,0.424038
14399,0.726567,0.745000,0.829701,0.780000,0.724925,0.720000,0.437118,0.356873,0.653826,0.463415,0.410079,0.245283
14599,0.727279,0.775000,0.829485,0.815000,0.722647,0.570000,0.439325,0.546737,0.653452,0.639095,0.406117,0.195736
14799,0.727899,0.770000,0.828841,0.785000,0.720507,0.575000,0.441010,0.540000,0.652059,0.570000,0.401874,0.150000
14999,0.727643,0.710000,0.827143,0.710000,0.720214,0.700000,0.439634,0.260204,0.647901,0.046053,0.399250,0.000000
15199,0.727183,0.695000,0.824577,0.645000,0.717042,0.495000,0.439112,0.401843,0.642575,0.327524,0.393223,0.067233
15399,0.727847,0.775000,0.825139,0.865000,0.718750,0.840000,0.439671,0.434673,0.643277,0.660804,0.395207,0.550562
15599,0.728288,0.760000,0.823151,0.680000,0.717329,0.615000,0.440103,0.455288,0.638722,0.210656,0.391181,0.015597
15799,0.726622,0.605000,0.819662,0.565000,0.715270,0.565000,0.436396,0.152724,0.631091,0.000000,0.386266,0.000000
15999,0.726067,0.685000,0.817333,0.645000,0.713667,0.595000,0.435259,0.351452,0.625923,0.202964,0.382400,0.077239
16199,0.725789,0.705000,0.817763,0.850000,0.713882,0.730000,0.434179,0.326484,0.626386,0.635613,0.381579,0.266802
16399,0.724805,0.650000,0.817013,0.760000,0.713506,0.685000,0.431977,0.258475,0.624709,0.491525,0.380505,0.293880
16599,0.723141,0.595000,0.815192,0.675000,0.712244,0.615000,0.428715,0.183632,0.620809,0.337276,0.378076,0.211066
16799,0.723418,0.745000,0.815000,0.800000,0.713228,0.790000,0.428305,0.297907,0.619628,0.307479,0.378001,0.260563
16999,0.724125,0.780000,0.814625,0.785000,0.713750,0.755000,0.428952,0.442191,0.618108,0.303305,0.377134,0.170616
17199,0.723889,0.705000,0.813642,0.735000,0.713704,0.710000,0.427828,0.295270,0.615382,0.205397,0.375403,0.105628
17399,0.724451,0.770000,0.813659,0.815000,0.714756,0.800000,0.428085,0.370639,0.614909,0.526612,0.376230,0.440794
17599,0.725120,0.780000,0.812831,0.745000,0.713012,0.570000,0.430254,0.555735,0.613466,0.498426,0.373384,0.190512
17799,0.726190,0.815000,0.813988,0.910000,0.713631,0.765000,0.432988,0.630074,0.616259,0.819495,0.375718,0.534192
17999,0.726765,0.775000,0.814941,0.895000,0.714412,0.780000,0.434197,0.539501,0.618157,0.779966,0.377142,0.502319
18199,0.727442,0.785000,0.814070,0.740000,0.713895,0.670000,0.435343,0.531590,0.615990,0.392523,0.375433,0.202899
18399,0.728046,0.780000,0.814598,0.860000,0.713966,0.720000,0.436085,0.486701,0.616645,0.651221,0.374266,0.193084
18599,0.728807,0.795000,0.815739,0.915000,0.714489,0.760000,0.436830,0.451138,0.618409,0.760631,0.373463,0.154334
18799,0.730506,0.880000,0.817303,0.955000,0.715112,0.770000,0.440071,0.737963,0.621402,0.898854,0.373961,0.412141
18999,0.732000,0.865000,0.818333,0.910000,0.715444,0.745000,0.443328,0.728151,0.623503,0.812010,0.374502,0.423338
19199,0.732802,0.805000,0.816593,0.660000,0.711758,0.380000,0.445969,0.604462,0.620311,0.375918,0.368142,0.022699
19399,0.733478,0.795000,0.816522,0.810000,0.711576,0.695000,0.447377,0.579055,0.620180,0.612245,0.367260,0.272076
19599,0.733441,0.730000,0.816075,0.775000,0.710000,0.565000,0.447674,0.462098,0.619539,0.550809,0.364421,0.151385
19799,0.733989,0.785000,0.815160,0.730000,0.708298,0.550000,0.449048,0.567143,0.617681,0.449429,0.360745,0.044992
19999,0.734947,0.825000,0.814895,0.790000,0.706684,0.555000,0.451596,0.648524,0.617410,0.580629,0.357803,0.132384
